1. Feature (k-tsallis12.3_rProtein): (1562.000000)
2. Feature (k-tsallis32.3_rProtein): (947.000000)
3. Feature (k-tsallis22.3_rProtein): (803.000000)
4. Feature (AG_LncRNA): (729.000000)
5. Feature (GT_LncRNA): (695.000000)
6. Feature (AC_LncRNA): (678.000000)
7. Feature (CA_LncRNA): (666.000000)
8. Feature (CT_LncRNA): (622.000000)
9. Feature (TG_LncRNA): (611.000000)
10. Feature (k-tsallis52.3_rProtein): (608.000000)
11. Feature (CG_LncRNA): (597.000000)
12. Feature (GA_LncRNA): (597.000000)
13. Feature (TC_LncRNA): (585.000000)
14. Feature (GG_LncRNA): (524.000000)
15. Feature (AT_LncRNA): (518.000000)
16. Feature (AA_LncRNA): (509.000000)
17. Feature (GC_LncRNA): (507.000000)
18. Feature (k-tsallis42.3_rProtein): (500.000000)
19. Feature (A_LncRNA): (498.000000)
20. Feature (TT_LncRNA): (494.000000)
21. Feature (TA_LncRNA): (450.000000)
22. Feature (CC_LncRNA): (444.000000)
23. Feature (T_LncRNA): (430.000000)
24. Feature (C_LncRNA): (426.000000)
